first_name,last_name,emp_no,birth_date,from_date,to_date,title
Koldo,Luit,80850,1965-02-01,1995-04-16,9999-01-01,Engineer
Shigeo,Linnainmaa,80889,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
Harjit,Bardell,80948,1965-01-27,1991-05-24,9999-01-01,Engineer
Jaewon,Boissier,81105,1965-01-14,1992-05-24,9999-01-01,Engineer
Larisa,Kornyak,81545,1965-01-13,2000-02-07,9999-01-01,Technique Leader
Divine,Ghandeharizadeh,81644,1965-01-05,1997-11-28,9999-01-01,Staff
Sreekrishna,Brender,81995,1965-01-10,1990-03-22,9999-01-01,Engineer
Yechezkel,Perfilyeva,82069,1965-01-20,1994-11-03,9999-01-01,Engineer
Poornachandra,Wilharm,82098,1965-01-25,1991-04-20,9999-01-01,Engineer
Stevo,Thambidurai,82351,1965-01-26,1989-10-27,9999-01-01,Senior Staff
Uwe,Koblick,82511,1965-01-27,1998-04-04,9999-01-01,Engineer
Shigeu,Claffy,82919,1965-01-05,1998-12-19,9999-01-01,Engineer
Alselm,Rikino,82928,1965-01-27,1990-11-16,9999-01-01,Engineer
Francesca,Ellozy,83280,1965-01-07,1999-08-08,9999-01-01,Senior Engineer
Shigeichiro,Engelmann,83289,1965-01-09,1994-01-09,9999-01-01,Engineer
Breannda,Collavizza,83509,1965-01-04,1989-10-12,9999-01-01,Engineer
Leaf,Baak,83544,1965-01-18,1994-09-05,9999-01-01,Senior Staff
Ohad,Kilgore,83714,1965-01-27,2000-10-10,9999-01-01,Engineer
Manohar,Harllee,83805,1965-01-23,1987-03-11,9999-01-01,Senior Engineer
Zsolt,Hagimont,83941,1965-01-11,1996-10-08,9999-01-01,Senior Staff
Babette,Eugenio,84029,1965-01-27,1997-09-21,9999-01-01,Staff
Shuichi,Nanard,84179,1965-01-25,1989-03-14,9999-01-01,Senior Engineer
Eberhardt,Barriga,84236,1965-01-18,1987-06-04,9999-01-01,Senior Staff
Kristina,Baumann,84315,1965-01-23,1996-09-26,9999-01-01,Assistant Engineer
Shiv,Aumann,84451,1965-01-20,1998-06-14,9999-01-01,Senior Engineer
Tommaso,Vidya,84508,1965-01-17,1998-05-02,9999-01-01,Engineer
Sverrir,Neimat,84840,1965-01-14,1996-11-03,9999-01-01,Staff
Parke,Unno,84922,1965-01-22,1996-07-01,9999-01-01,Engineer
Shin,Fujisaki,84942,1965-01-15,1988-02-23,9999-01-01,Technique Leader
Ferdinand,Rosiles,85216,1965-01-18,1997-07-08,9999-01-01,Senior Staff
Younwoo,Luders,85288,1965-01-06,1998-12-08,9999-01-01,Engineer
Chiradeep,Callaway,85414,1965-01-14,1999-07-30,9999-01-01,Staff
Yongdong,Pollock,85445,1965-01-09,1998-03-17,9999-01-01,Staff
Udi,Merks,85702,1965-01-04,1997-08-15,9999-01-01,Engineer
Pasqua,Taubman,85874,1965-01-30,1986-06-23,9999-01-01,Senior Staff
Kristine,Clemencon,86213,1965-01-28,1993-06-01,9999-01-01,Senior Staff
Ronghao,Segond,86354,1965-01-27,1993-09-13,9999-01-01,Senior Engineer
Jaewon,Thummel,86422,1965-02-01,1985-09-14,9999-01-01,Senior Staff
Oldrich,Woycyznski,86546,1965-01-09,1985-05-15,9999-01-01,Engineer
Zhenhua,Lorys,86655,1965-01-01,1995-08-21,9999-01-01,Engineer
JoAnne,Anido,86672,1965-01-15,1995-09-15,9999-01-01,Staff
Keung,Neiman,87129,1965-01-16,1997-04-13,9999-01-01,Staff
Quingbo,Coombs,87353,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
Khun,Janetzko,87714,1965-01-16,1989-09-13,9999-01-01,Assistant Engineer
Yongmin,Roccetti,87729,1965-01-24,1986-12-10,9999-01-01,Senior Staff
Conor,Thorensen,87783,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
Goo,Bresenham,88103,1965-01-09,1999-01-31,9999-01-01,Senior Staff
Lena,Cannane,88411,1965-01-31,2000-01-28,9999-01-01,Engineer
Jungsoon,Birsak,88422,1965-01-28,1985-04-03,9999-01-01,Technique Leader
Vasiliy,Ratnaker,88647,1965-01-10,1995-08-09,9999-01-01,Engineer
Vojin,Coombs,88958,1965-01-22,1995-07-23,9999-01-01,Senior Staff
Mang,Hedayat,88965,1965-01-20,1995-05-22,9999-01-01,Engineer
Otmar,Birjandi,89048,1965-01-24,1985-03-23,9999-01-01,Engineer
Tetsushi,Theuretzbacher,89090,1965-01-26,1990-02-01,9999-01-01,Senior Staff
Conal,Yetto,89161,1965-01-07,1991-01-12,9999-01-01,Senior Staff
Along,Erol,89207,1965-01-15,1992-10-16,9999-01-01,Senior Staff
Mansur,Comyn,89346,1965-01-13,1999-08-31,9999-01-01,Engineer
Guther,Rothenberg,89590,1965-01-27,1991-08-08,9999-01-01,Senior Staff
Pranjal,Rossi,89664,1965-01-20,1998-07-07,9999-01-01,Staff
Aiman,Mawatari,89680,1965-01-27,1988-05-01,9999-01-01,Engineer
Xiadong,Shinomoto,89806,1965-01-27,1997-05-24,9999-01-01,Engineer
Alexius,Ibel,89922,1965-01-26,1988-04-24,9999-01-01,Engineer
Arnould,Weedman,89941,1965-01-23,1989-07-28,9999-01-01,Senior Staff
Vivian,Guerreiro,90077,1965-01-24,1991-07-08,9999-01-01,Assistant Engineer
Renny,Bale,90084,1965-01-01,1989-11-22,9999-01-01,Engineer
Bader,Denis,90211,1965-01-15,1997-10-06,9999-01-01,Engineer
Koichi,Assaf,90292,1965-01-09,1990-05-26,9999-01-01,Engineer
Fumiko,Chepyzhov,90518,1965-01-24,1988-01-28,9999-01-01,Senior Staff
Yonghoan,Trogemann,90614,1965-01-29,1988-09-23,9999-01-01,Assistant Engineer
Rajmohan,DasSarma,90692,1965-01-03,1985-09-14,9999-01-01,Senior Staff
Kazuhisa,Melter,91172,1965-01-19,1987-07-16,9999-01-01,Senior Staff
Lucien,Schwartzburd,91182,1965-01-04,1988-08-25,9999-01-01,Engineer
Yahiko,Hebden,91229,1965-01-01,1996-10-03,9999-01-01,Engineer
Gunilla,Milicic,91256,1965-01-13,1998-01-09,9999-01-01,Staff
Lobel,Stafford,91333,1965-01-27,1998-11-29,9999-01-01,Staff
Jamaludin,Nilsson,91415,1965-01-04,1987-01-15,9999-01-01,Senior Staff
Dmitry,Msuda,91648,1965-01-29,1988-10-22,9999-01-01,Senior Staff
Aria,Kilgore,92438,1965-01-04,1992-04-11,9999-01-01,Engineer
Visit,McFarlan,92454,1965-01-24,1987-10-22,9999-01-01,Engineer
Zhanqiu,Farrow,92577,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
Ranga,Merro,92598,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
Mang,Atchley,92685,1965-01-26,1995-06-07,9999-01-01,Senior Staff
Claude,Candan,92841,1965-01-22,1993-08-04,9999-01-01,Senior Staff
Anyuan,Kropatsch,92846,1965-01-11,1986-09-05,9999-01-01,Senior Staff
Huei,Hutter,92920,1965-01-20,1993-01-28,9999-01-01,Engineer
Jaques,Kabayashi,93040,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
Richara,Walston,93220,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
Magdalena,Penn,93278,1965-02-01,1997-01-04,9999-01-01,Engineer
Arie,Coullard,93549,1965-02-01,2000-03-28,9999-01-01,Senior Staff
Kristina,Neimat,93600,1965-01-13,1988-04-18,9999-01-01,Technique Leader
Ramzi,Cronau,94331,1965-01-26,1999-09-03,9999-01-01,Technique Leader
Aran,Cesareni,94416,1965-01-01,2001-11-20,9999-01-01,Senior Staff
Hitofumi,Zaccaria,94761,1965-01-27,1988-11-22,9999-01-01,Engineer
Heping,Matheson,94944,1965-01-13,1988-06-24,9999-01-01,Engineer
Yishai,Cappelli,95181,1965-01-28,1997-01-30,9999-01-01,Staff
Kristin,Guerreiro,95286,1965-01-18,1989-08-23,9999-01-01,Engineer
Rasiah,Koblick,95314,1965-01-22,1991-08-21,9999-01-01,Senior Staff
Alair,Lyonns,95406,1965-01-08,1997-07-12,9999-01-01,Engineer
Gianluca,Ramaiah,95416,1965-01-13,1993-11-29,9999-01-01,Engineer
Kristinn,Loncour,95509,1965-01-11,1995-02-08,9999-01-01,Engineer
Nobuyoshi,Hegner,95920,1965-01-19,1994-09-07,9999-01-01,Senior Staff
Kokou,Garrabrants,96571,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
Mohan,Tasistro,96579,1965-01-18,1996-02-10,9999-01-01,Engineer
Arumugam,Vecchio,96767,1965-01-07,1985-08-14,9999-01-01,Engineer
Jeanna,Chinen,97018,1965-01-09,1989-01-01,9999-01-01,Engineer
Haldon,Janetzko,97623,1965-01-25,1990-09-11,9999-01-01,Senior Staff
Avishai,Hegner,97661,1965-01-31,1993-05-08,9999-01-01,Senior Staff
Sumali,Huttel,98288,1965-01-12,1989-09-12,9999-01-01,Senior Staff
Ziya,Kadhim,98306,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
Florina,Assaf,98639,1965-01-29,1996-05-18,9999-01-01,Staff
Shugo,Reeken,99057,1965-01-30,1999-06-21,9999-01-01,Staff
Xiaobin,Christianini,99373,1965-01-13,1985-12-25,9999-01-01,Senior Staff
Carrsten,Francisci,99377,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
Dhritiman,Anily,99590,1965-01-24,1998-12-16,9999-01-01,Staff
Mahendra,Motley,99654,1965-01-30,1985-09-28,9999-01-01,Senior Staff
Hisao,Peral,100865,1965-01-19,1990-10-03,9999-01-01,Engineer
Heejo,Aamodt,100916,1965-01-18,1992-04-22,9999-01-01,Engineer
Abdelaziz,Sury,101487,1965-01-14,1991-01-31,9999-01-01,Senior Staff
Mori,Homond,101647,1965-01-22,1994-05-10,9999-01-01,Senior Staff
Mantis,Millington,101902,1965-01-14,1991-03-18,9999-01-01,Senior Staff
Adin,Templeman,102620,1965-01-03,1999-08-12,9999-01-01,Engineer
Djenana,Albarhamtoshy,103196,1965-01-16,1988-07-16,9999-01-01,Senior Staff
Visit,Swen,103310,1965-01-07,1995-10-02,9999-01-01,Senior Staff
Susanne,Peternell,103316,1965-01-03,1994-07-27,9999-01-01,Engineer
Beshir,Hellwagner,103342,1965-01-03,1998-02-03,9999-01-01,Engineer
Heping,Halloran,103756,1965-01-31,1992-04-08,9999-01-01,Assistant Engineer
Pranjal,Zyda,104133,1965-01-31,1991-07-03,9999-01-01,Senior Staff
Werner,Lodder,104845,1965-01-29,1992-06-17,9999-01-01,Senior Staff
Parviz,Litzler,104988,1965-01-07,1992-08-08,9999-01-01,Engineer
Kwun,Reeker,105342,1965-01-01,1999-07-29,9999-01-01,Technique Leader
Diederik,Matzov,105356,1965-01-29,1995-03-08,9999-01-01,Engineer
Mohamadou,Stafford,105432,1965-01-08,1995-09-12,9999-01-01,Engineer
Haldun,Lienhardt,105520,1965-01-01,1987-01-29,9999-01-01,Senior Staff
Sachem,Cromarty,105731,1965-01-15,1990-08-20,9999-01-01,Assistant Engineer
Naftali,Schurmann,106096,1965-01-14,1992-12-02,9999-01-01,Engineer
Nevio,Thisen,106242,1965-02-01,1988-03-25,9999-01-01,Senior Staff
Lijie,Garrabrants,106695,1965-01-31,1988-10-26,9999-01-01,Senior Staff
Babette,Anandan,106710,1965-01-31,1986-11-22,9999-01-01,Senior Staff
Siamak,Luiz,107486,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
Fabrizio,Chleq,107737,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
Shahab,Crooks,107792,1965-01-13,1992-03-18,9999-01-01,Senior Staff
Ramya,Walston,107828,1965-01-26,1989-02-03,9999-01-01,Senior Staff
Hisao,Ghemri,108091,1965-01-09,1985-11-14,9999-01-01,Senior Staff
Randi,Samarati,108198,1965-01-24,1992-10-20,9999-01-01,Senior Staff
Shai,Stellhorn,108316,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
Oksana,Baek,108988,1965-01-19,1989-07-20,9999-01-01,Senior Staff
Jamaludin,Kandlur,109062,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
Gor,Delgrande,109211,1965-01-11,2002-06-18,9999-01-01,Engineer
Moty,Winter,109252,1965-01-15,1991-04-28,9999-01-01,Technique Leader
Bangqing,Schach,109278,1965-01-21,1988-03-22,9999-01-01,Senior Staff
Menkae,Etalle,109552,1965-01-31,1997-05-21,9999-01-01,Assistant Engineer
Stamatina,Auyong,109598,1965-02-01,1988-07-05,9999-01-01,Senior Staff
Mani,Cannata,109620,1965-01-02,1989-06-21,9999-01-01,Senior Staff
Arco,Walston,109703,1965-01-17,1999-08-16,9999-01-01,Engineer
Hatem,Fadgyas,109741,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
Godehard,Chorvat,109953,1965-01-26,1988-04-10,9999-01-01,Senior Staff
Chuanti,Luff,200267,1965-01-08,1994-09-21,9999-01-01,Senior Staff
Akemi,Fujisaki,200312,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
Kirk,Quaggetto,200363,1965-01-10,1987-06-30,9999-01-01,Engineer
Dinah,Denos,200735,1965-01-09,1992-09-21,9999-01-01,Senior Staff
Susumu,Camurati,200789,1965-01-14,1991-12-15,9999-01-01,Senior Staff
Alejandra,Khasidashvili,201229,1965-01-03,1994-07-30,9999-01-01,Staff
Anneli,Perl,201708,1965-01-15,1992-09-08,9999-01-01,Senior Staff
Fan,Kakkad,201709,1965-01-01,1988-02-25,9999-01-01,Senior Staff
Genta,Terekhov,201739,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
Waiman,Genin,201801,1965-01-12,1988-10-30,9999-01-01,Engineer
Sudharsan,DeMori,201915,1965-01-02,1992-03-30,9999-01-01,Engineer
Ortrun,Schmiedel,202291,1965-01-16,1997-07-18,9999-01-01,Engineer
Gully,Perko,202403,1965-01-09,1999-07-07,9999-01-01,Engineer
Zvonko,Murthy,202414,1965-01-13,1992-01-07,9999-01-01,Senior Staff
Morris,Saoudi,202552,1965-01-05,1991-11-22,9999-01-01,Engineer
Kerhong,Matzke,202826,1965-01-19,1986-11-14,9999-01-01,Engineer
Isaac,Koshino,202882,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
Giordano,Pietrzykowski,202950,1965-01-17,1987-03-26,9999-01-01,Senior Staff
Hugh,Jonsson,203474,1965-01-03,1991-07-06,9999-01-01,Senior Staff
Zongyan,Gips,203495,1965-01-02,1997-05-31,9999-01-01,Technique Leader
Ewing,DiGiano,203599,1965-01-21,2000-02-01,9999-01-01,Technique Leader
Sasan,Thimonier,203720,1965-01-30,1996-08-21,9999-01-01,Senior Staff
Yefim,Marwedel,203946,1965-01-23,1993-03-30,9999-01-01,Senior Staff
Jessie,Nooteboom,204117,1965-01-10,2000-12-13,9999-01-01,Staff
Susuma,Bergere,204133,1965-01-22,1996-02-25,9999-01-01,Senior Staff
Arve,Worfolk,204246,1965-01-09,1985-04-01,9999-01-01,Senior Staff
Gretta,Huttel,204425,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
Hein,Lichtner,204470,1965-01-22,1998-05-02,9999-01-01,Senior Staff
Franziska,Maginnis,204471,1965-01-27,1986-02-17,9999-01-01,Engineer
Susanne,Mandelberg,204764,1965-01-22,1990-11-02,9999-01-01,Engineer
Yahiko,Awdeh,205018,1965-01-26,1998-08-05,9999-01-01,Engineer
Moni,Kornyak,205085,1965-01-23,1991-09-26,9999-01-01,Technique Leader
Leszek,Spinelli,205174,1965-01-05,1998-12-10,9999-01-01,Staff
Mary,Setiz,205500,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
Stabislas,Broder,205627,1965-01-21,1996-07-16,9999-01-01,Engineer
Kien,Barreiro,205660,1965-01-27,2000-10-24,9999-01-01,Staff
Youjian,Yetto,205699,1965-01-31,1994-12-07,9999-01-01,Senior Staff
Limsoon,Skafidas,205789,1965-01-31,1999-08-10,9999-01-01,Senior Staff
Aiichiro,Kusalik,205863,1965-01-06,1990-10-04,9999-01-01,Engineer
Yucai,Fabrizio,206748,1965-01-07,1999-10-06,9999-01-01,Staff
Guadalupe,Pfau,206836,1965-01-12,1993-03-22,9999-01-01,Senior Staff
Tzu,Sichman,206966,1965-01-21,1987-11-17,9999-01-01,Engineer
Jacqueline,Akaboshi,207021,1965-01-20,1997-12-06,9999-01-01,Engineer
Zhiguo,Ariola,207068,1965-01-13,1994-09-07,9999-01-01,Senior Staff
Kellie,Schrooten,207204,1965-01-25,1991-01-17,9999-01-01,Assistant Engineer
Shuji,Barbanera,207401,1965-01-04,1987-08-10,9999-01-01,Senior Staff
Baziley,Falck,207551,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
Chinya,Kamble,207779,1965-01-16,1992-05-31,9999-01-01,Senior Staff
Remko,Vieth,207980,1965-01-07,1990-11-22,9999-01-01,Senior Staff
Manu,Rothenberg,208147,1965-01-09,1988-12-06,9999-01-01,Engineer
Shen,Flanders,208330,1965-01-11,1989-07-03,9999-01-01,Senior Staff
Larisa,Lukaszewicz,208639,1965-01-27,1996-10-30,9999-01-01,Senior Staff
Phillip,Schade,208653,1965-01-23,1989-03-03,9999-01-01,Engineer
Pranjal,Juneja,208784,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
Xinyu,Edelhoff,209101,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
Krassimir,Garnier,209443,1965-01-19,1998-01-26,9999-01-01,Senior Staff
Dante,Covnot,209565,1965-01-09,1989-05-28,9999-01-01,Senior Staff
Nimmagadda,Baak,209712,1965-01-17,1987-10-30,9999-01-01,Assistant Engineer
Shalesh,Lovengreen,210017,1965-01-28,1990-09-29,9999-01-01,Senior Staff
Lihong,Zeilberger,210292,1965-01-18,1996-04-28,9999-01-01,Staff
Gino,Lagarias,210449,1965-01-19,1997-06-22,9999-01-01,Engineer
Saniya,Stenning,210752,1965-01-25,1986-12-10,9999-01-01,Senior Staff
Werner,Ranze,210786,1965-01-31,1998-06-05,9999-01-01,Staff
Domenico,Ratnaker,211858,1965-01-08,1985-03-24,9999-01-01,Engineer
Gao,Ranze,211879,1965-01-12,1994-11-24,9999-01-01,Engineer
Anwar,Bain,211967,1965-01-07,1989-01-22,9999-01-01,Engineer
Leni,Henders,212093,1965-01-11,1993-11-19,9999-01-01,Senior Staff
Sailaja,Holburn,212154,1965-01-17,1991-03-04,9999-01-01,Senior Staff
Claudi,Stanfel,212361,1965-01-16,1996-01-07,9999-01-01,Engineer
Yongmao,Fontan,213016,1965-01-22,1993-07-26,9999-01-01,Engineer
Tru,Danecki,213140,1965-01-10,1997-03-31,9999-01-01,Staff
Pranas,Narwekar,213384,1965-01-04,1985-09-26,9999-01-01,Engineer
Armond,Perly,213447,1965-02-01,1989-09-14,9999-01-01,Engineer
Xiaoqiang,Cardazo,214215,1965-01-25,1993-05-28,9999-01-01,Senior Staff
Rayond,Klassen,214391,1965-01-15,1993-09-11,9999-01-01,Senior Staff
Peer,Molberg,214427,1965-01-29,1996-11-17,9999-01-01,Engineer
Ingmar,Kohling,214539,1965-01-27,1995-04-25,9999-01-01,Engineer
Shirish,Vickson,214634,1965-01-12,1989-10-24,9999-01-01,Engineer
Arfst,Chepyzhov,214789,1965-01-28,1989-02-06,9999-01-01,Engineer
Gopalakrishnan,Angel,214866,1965-02-01,1997-07-05,9999-01-01,Engineer
Dinkar,Hoppenstand,214995,1965-01-12,1994-05-04,9999-01-01,Engineer
Flemming,Kroha,215419,1965-01-16,1995-01-23,9999-01-01,Staff
Munehiro,Manders,215629,1965-01-15,1987-05-18,9999-01-01,Senior Staff
Sven,Speer,215746,1965-01-08,1999-07-08,9999-01-01,Staff
Pramod,Loncour,215843,1965-01-30,1987-03-31,9999-01-01,Senior Staff
Sahrah,Angiulli,216054,1965-01-24,1986-07-31,9999-01-01,Senior Staff
Aiichiro,Cromarty,216342,1965-01-22,1995-06-10,9999-01-01,Engineer
Byong,Gustavson,216375,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
Xiaocheng,Suermann,216502,1965-01-26,1997-12-15,9999-01-01,Engineer
Ashish,Vidya,216573,1965-01-29,1989-06-16,9999-01-01,Engineer
Lena,Lenart,216921,1965-01-22,1990-12-25,9999-01-01,Senior Staff
Otmar,Engberts,217026,1965-01-11,1993-08-16,9999-01-01,Senior Staff
Masami,Puoti,217080,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
Yuchang,Eldridge,217272,1965-01-21,1986-08-01,9999-01-01,Senior Staff
Yannik,Spelt,217286,1965-01-05,1992-09-22,9999-01-01,Technique Leader
Abdelwaheb,Denis,217320,1965-01-10,1993-09-10,9999-01-01,Engineer
Horward,Marzano,217363,1965-01-14,1996-04-11,9999-01-01,Staff
Jianhao,Molenaar,217387,1965-01-21,1987-10-22,9999-01-01,Engineer
Panayotis,Lukaszewicz,217551,1965-01-02,1989-06-06,9999-01-01,Engineer
Shay,Servieres,217800,1965-02-01,1998-08-06,9999-01-01,Senior Staff
Mokhtar,Poupard,218022,1965-01-26,1992-02-02,9999-01-01,Technique Leader
Jiong,Garnham,218100,1965-01-24,1990-01-02,9999-01-01,Senior Staff
Unal,DuBourdieux,218831,1965-01-16,1996-03-13,9999-01-01,Engineer
Kristine,Bierman,219035,1965-01-18,1988-05-13,9999-01-01,Technique Leader
Aemilian,Kusalik,219047,1965-01-30,1987-05-27,9999-01-01,Engineer
Marsal,Acton,219052,1965-01-06,1995-08-02,9999-01-01,Staff
Subhrajyoti,Denna,219417,1965-01-29,1996-07-25,9999-01-01,Staff
Moie,Zastre,219497,1965-01-22,1991-10-11,9999-01-01,Technique Leader
Susanna,Reeken,219967,1965-01-16,1998-03-16,9999-01-01,Senior Staff
Demos,Asser,220029,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
Reinhard,Slaats,220131,1965-01-09,1994-06-08,9999-01-01,Engineer
Poorav,Laventhal,220418,1965-01-23,1997-08-16,9999-01-01,Staff
Sibyl,Rabehasaina,220528,1965-01-06,1998-02-23,9999-01-01,Senior Staff
Poornachandra,Zielinski,220582,1965-01-08,1996-02-13,9999-01-01,Senior Staff
Yuping,Babb,220611,1965-01-23,1995-01-31,9999-01-01,Senior Staff
Shigenori,Deville,220625,1965-01-25,1992-12-24,9999-01-01,Technique Leader
Nahid,Gyimothy,220699,1965-01-07,1995-08-18,9999-01-01,Staff
Perla,Orlowska,220799,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
Tesuya,dAstous,221126,1965-01-23,1988-11-29,9999-01-01,Engineer
Saddek,Farris,221367,1965-01-13,1990-11-06,9999-01-01,Senior Staff
Abdulah,Pocchiola,221369,1965-01-28,1996-08-28,9999-01-01,Engineer
Djenana,Marrevee,221435,1965-01-06,1994-02-06,9999-01-01,Engineer
Sangeeta,Kalefeld,221973,1965-01-17,1990-06-06,9999-01-01,Senior Staff
Stein,Uludag,222206,1965-01-21,1988-01-30,9999-01-01,Senior Staff
Miyeon,Billingsley,222311,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
Matt,Chvatal,222319,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
Valdiodio,Schlumberger,222354,1965-01-15,1993-08-07,9999-01-01,Assistant Engineer
Badri,Schapire,222616,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
Kazuhiko,Kushner,222770,1965-01-22,1995-08-01,9999-01-01,Senior Engineer
Annemarie,Zallocco,222878,1965-01-10,1996-12-01,9999-01-01,Engineer
Limsoon,Erol,222926,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
Gopalakrishnan,Suermann,222952,1965-01-28,1991-04-30,9999-01-01,Engineer
Leaf,Awdeh,222998,1965-01-07,1992-10-02,9999-01-01,Senior Staff
Hidefumi,Moehrke,223593,1965-01-20,1998-03-04,9999-01-01,Staff
Chiranjit,Dredge,223595,1965-02-01,1999-09-05,9999-01-01,Technique Leader
Annemarie,Bressoud,224135,1965-01-02,1998-06-23,9999-01-01,Engineer
Perry,Chachaty,224335,1965-01-29,1985-07-22,9999-01-01,Engineer
True,Shobatake,224390,1965-01-24,1996-05-17,9999-01-01,Senior Staff
George,Miake,224934,1965-01-05,1988-01-02,9999-01-01,Senior Staff
Remmert,Quaggetto,225438,1965-01-14,1992-04-28,9999-01-01,Senior Staff
Masasuke,Genin,225601,1965-01-13,1994-06-25,9999-01-01,Assistant Engineer
Ipke,Kieras,225788,1965-01-08,1995-12-18,9999-01-01,Engineer
Ramalingam,Remmele,225867,1965-01-26,1999-09-03,9999-01-01,Senior Engineer
Mooi,Cooman,225964,1965-01-19,1989-06-07,9999-01-01,Engineer
Giordano,Gini,226216,1965-01-28,1993-08-14,9999-01-01,Technique Leader
Herbert,Erva,226227,1965-01-07,1986-09-06,9999-01-01,Engineer
Gio,Murtha,227354,1965-01-12,1986-11-11,9999-01-01,Engineer
Macha,Schnabel,227476,1965-01-11,1988-05-11,9999-01-01,Engineer
Mikhail,Rousseau,227681,1965-01-30,1998-11-30,9999-01-01,Staff
Garnik,Luce,227899,1965-01-23,1998-09-15,9999-01-01,Staff
Francesca,Azuma,227901,1965-01-26,1996-06-08,9999-01-01,Senior Staff
IEEE,Kroll,228098,1965-01-18,1998-02-17,9999-01-01,Engineer
Yuriy,Plump,228248,1965-01-09,1988-09-08,9999-01-01,Senior Staff
Bilhanan,Brendel,228554,1965-01-03,1990-12-23,9999-01-01,Senior Staff
Nahla,Smailagic,228766,1965-01-11,1993-02-12,9999-01-01,Engineer
Berry,Yurek,229098,1965-01-08,1995-08-16,9999-01-01,Senior Staff
Fabrizio,Lichtman,229220,1965-01-21,1987-02-09,9999-01-01,Engineer
Harjit,Terekhov,229248,1965-01-27,1995-10-19,9999-01-01,Staff
Pohua,Tasistro,229386,1965-01-03,1994-11-04,9999-01-01,Technique Leader
Paloma,Henseler,229391,1965-01-15,1991-06-11,9999-01-01,Engineer
Gilbert,Kilgour,229404,1965-01-11,1996-04-05,9999-01-01,Staff
Moni,Schach,229547,1965-01-03,1986-07-04,9999-01-01,Senior Staff
Ewing,Millington,229727,1965-01-23,1999-09-28,9999-01-01,Engineer
Jamaludin,Fordan,229981,1965-01-19,1992-02-06,9999-01-01,Engineer
Tadahiro,Backhouse,230002,1965-01-07,1991-10-02,9999-01-01,Engineer
Bezalel,Radivojevic,230126,1965-01-31,1988-07-02,9999-01-01,Senior Staff
Renny,Alameldin,230287,1965-01-14,1997-09-28,9999-01-01,Assistant Engineer
Yinghua,Lorho,230354,1965-01-31,1991-08-09,9999-01-01,Senior Staff
Kolar,Puppo,230498,1965-01-15,1990-04-25,9999-01-01,Engineer
Shahar,Negoita,230579,1965-01-17,1994-03-19,9999-01-01,Senior Staff
Dietrich,Crabtree,230689,1965-01-14,1986-05-24,9999-01-01,Senior Staff
Takushi,Brattka,230865,1965-01-02,1999-06-03,9999-01-01,Staff
Trygve,Siksek,231069,1965-01-22,1995-11-09,9999-01-01,Staff
Nectarios,Pramanik,231459,1965-01-28,1999-11-18,9999-01-01,Assistant Engineer
Chandrasekaran,Pearson,231671,1965-01-07,1995-04-14,9999-01-01,Staff
Goetz,Alvarado,231798,1965-01-28,1988-12-25,9999-01-01,Engineer
Etsuo,Anandan,232178,1965-01-29,1989-12-13,9999-01-01,Senior Staff
Nitsan,Rouquie,232209,1965-01-11,1988-08-01,9999-01-01,Engineer
Barry,Ramsak,232697,1965-01-23,1990-09-07,9999-01-01,Engineer
Tesuya,Bugrara,232723,1965-01-14,1993-02-13,9999-01-01,Assistant Engineer
Alselm,Gargeya,233114,1965-01-20,1987-12-25,9999-01-01,Senior Engineer
Khalid,Lenart,233394,1965-01-06,1995-12-24,9999-01-01,Engineer
Fay,Sundgren,233397,1965-01-16,1990-07-07,9999-01-01,Senior Staff
Etsuo,Usery,233426,1965-01-12,1995-03-02,9999-01-01,Engineer
